Date,GEO,value,Age,Sex,Characteristics
2018-02-03,Prince Edward Island,0,0 to 44 years,Both sexes,Number of deaths
2018-02-03,Prince Edward Island,5,45 to 64 years,Both sexes,Number of deaths
2018-02-03,Prince Edward Island,20,65 to 84 years,Both sexes,Number of deaths
2018-02-03,Prince Edward Island,5,85 years and over,Both sexes,Number of deaths
2018-02-03,Nova Scotia,195,all ages,Both sexes,Number of deaths
2018-02-03,Nova Scotia,5,0 to 44 years,Both sexes,Number of deaths
2018-02-03,Nova Scotia,30,45 to 64 years,Both sexes,Number of deaths
2018-02-03,Nova Scotia,90,65 to 84 years,Both sexes,Number of deaths
2018-02-03,Nova Scotia,80,85 years and over,Both sexes,Number of deaths
2018-02-03,New Brunswick,155,all ages,Both sexes,Number of deaths
2018-02-03,New Brunswick,5,0 to 44 years,Both sexes,Number of deaths
2018-02-03,New Brunswick,20,45 to 64 years,Both sexes,Number of deaths
2018-02-03,New Brunswick,80,65 to 84 years,Both sexes,Number of deaths
2018-02-03,New Brunswick,50,85 years and over,Both sexes,Number of deaths
2018-02-03,Quebec,1620,all ages,Both sexes,Number of deaths
2018-02-03,Quebec,65,0 to 44 years,Both sexes,Number of deaths
2018-02-03,Quebec,185,45 to 64 years,Both sexes,Number of deaths
2018-02-03,Quebec,665,65 to 84 years,Both sexes,Number of deaths
2018-02-03,Quebec,705,85 years and over,Both sexes,Number of deaths
2018-02-03,Ontario,2330,all ages,Both sexes,Number of deaths
2018-02-03,Ontario,100,0 to 44 years,Both sexes,Number of deaths
2018-02-03,Ontario,305,45 to 64 years,Both sexes,Number of deaths
2018-02-03,Ontario,1010,65 to 84 years,Both sexes,Number of deaths
2018-02-03,Ontario,910,85 years and over,Both sexes,Number of deaths
2018-02-03,Manitoba,235,all ages,Both sexes,Number of deaths
2018-02-03,Manitoba,15,0 to 44 years,Both sexes,Number of deaths
2018-02-03,Manitoba,35,45 to 64 years,Both sexes,Number of deaths
2018-02-03,Manitoba,95,65 to 84 years,Both sexes,Number of deaths
2018-02-03,Manitoba,90,85 years and over,Both sexes,Number of deaths
2018-02-03,Saskatchewan,195,all ages,Both sexes,Number of deaths
2018-02-03,Saskatchewan,15,0 to 44 years,Both sexes,Number of deaths
2018-02-03,Saskatchewan,30,45 to 64 years,Both sexes,Number of deaths
2018-02-03,Saskatchewan,65,65 to 84 years,Both sexes,Number of deaths
2018-02-03,Saskatchewan,80,85 years and over,Both sexes,Number of deaths
2018-02-03,Alberta,545,all ages,Both sexes,Number of deaths
2018-02-03,Alberta,50,0 to 44 years,Both sexes,Number of deaths
2018-02-03,Alberta,85,45 to 64 years,Both sexes,Number of deaths
2018-02-03,Alberta,215,65 to 84 years,Both sexes,Number of deaths
2018-02-03,Alberta,195,85 years and over,Both sexes,Number of deaths
2018-02-03,British Columbia,820,all ages,Both sexes,Number of deaths
2018-02-03,British Columbia,45,0 to 44 years,Both sexes,Number of deaths
2018-02-03,British Columbia,130,45 to 64 years,Both sexes,Number of deaths
2018-02-03,British Columbia,345,65 to 84 years,Both sexes,Number of deaths
2018-02-03,British Columbia,295,85 years and over,Both sexes,Number of deaths
2018-02-03,Yukon,,all ages,Both sexes,Number of deaths
2018-02-03,Yukon,,0 to 44 years,Both sexes,Number of deaths
2018-02-03,Yukon,,45 to 64 years,Both sexes,Number of deaths
2018-02-03,Yukon,,65 to 84 years,Both sexes,Number of deaths
2018-02-03,Yukon,,85 years and over,Both sexes,Number of deaths
2018-02-03,Northwest Territories,0,all ages,Both sexes,Number of deaths
2018-02-03,Northwest Territories,0,0 to 44 years,Both sexes,Number of deaths
2018-02-03,Northwest Territories,0,45 to 64 years,Both sexes,Number of deaths
2018-02-03,Northwest Territories,0,65 to 84 years,Both sexes,Number of deaths
2018-02-03,Northwest Territories,0,85 years and over,Both sexes,Number of deaths
2018-02-03,Nunavut,0,all ages,Both sexes,Number of deaths
2018-02-03,Nunavut,5,0 to 44 years,Both sexes,Number of deaths
2018-02-03,Nunavut,0,45 to 64 years,Both sexes,Number of deaths
2018-02-03,Nunavut,0,65 to 84 years,Both sexes,Number of deaths
2018-02-03,Nunavut,0,85 years and over,Both sexes,Number of deaths
2018-02-10,Canada,6035,all ages,Both sexes,Number of deaths
2018-02-10,Canada,260,0 to 44 years,Both sexes,Number of deaths
2018-02-10,Canada,840,45 to 64 years,Both sexes,Number of deaths
2018-02-10,Canada,2565,65 to 84 years,Both sexes,Number of deaths
2018-02-10,Canada,2375,85 years and over,Both sexes,Number of deaths
2018-02-10,Newfoundland and Labrador,95,all ages,Both sexes,Number of deaths
2018-02-10,Newfoundland and Labrador,5,0 to 44 years,Both sexes,Number of deaths
2018-02-10,Newfoundland and Labrador,15,45 to 64 years,Both sexes,Number of deaths
2018-02-10,Newfoundland and Labrador,40,65 to 84 years,Both sexes,Number of deaths
2018-02-10,Newfoundland and Labrador,35,85 years and over,Both sexes,Number of deaths
2018-02-10,Prince Edward Island,25,all ages,Both sexes,Number of deaths
2018-02-10,Prince Edward Island,0,0 to 44 years,Both sexes,Number of deaths
2018-02-10,Prince Edward Island,5,45 to 64 years,Both sexes,Number of deaths
2018-02-10,Prince Edward Island,10,65 to 84 years,Both sexes,Number of deaths
2018-02-10,Prince Edward Island,10,85 years and over,Both sexes,Number of deaths
2018-02-10,Nova Scotia,200,all ages,Both sexes,Number of deaths
2018-02-10,Nova Scotia,10,0 to 44 years,Both sexes,Number of deaths
2018-02-10,Nova Scotia,20,45 to 64 years,Both sexes,Number of deaths
2018-02-10,Nova Scotia,85,65 to 84 years,Both sexes,Number of deaths
2018-02-10,Nova Scotia,85,85 years and over,Both sexes,Number of deaths
2018-02-10,New Brunswick,135,all ages,Both sexes,Number of deaths
2018-02-10,New Brunswick,10,0 to 44 years,Both sexes,Number of deaths
2018-02-10,New Brunswick,25,45 to 64 years,Both sexes,Number of deaths
2018-02-10,New Brunswick,55,65 to 84 years,Both sexes,Number of deaths
2018-02-10,New Brunswick,45,85 years and over,Both sexes,Number of deaths
2018-02-10,Quebec,1515,all ages,Both sexes,Number of deaths
2018-02-10,Quebec,45,0 to 44 years,Both sexes,Number of deaths
2018-02-10,Quebec,180,45 to 64 years,Both sexes,Number of deaths
2018-02-10,Quebec,685,65 to 84 years,Both sexes,Number of deaths
2018-02-10,Quebec,600,85 years and over,Both sexes,Number of deaths
2018-02-10,Ontario,2380,all ages,Both sexes,Number of deaths
2018-02-10,Ontario,100,0 to 44 years,Both sexes,Number of deaths
2018-02-10,Ontario,335,45 to 64 years,Both sexes,Number of deaths
2018-02-10,Ontario,1000,65 to 84 years,Both sexes,Number of deaths
2018-02-10,Ontario,945,85 years and over,Both sexes,Number of deaths
2018-02-10,Manitoba,205,all ages,Both sexes,Number of deaths
2018-02-10,Manitoba,10,0 to 44 years,Both sexes,Number of deaths
2018-02-10,Manitoba,35,45 to 64 years,Both sexes,Number of deaths
2018-02-10,Manitoba,90,65 to 84 years,Both sexes,Number of deaths
